file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),t0 (s),a (-),Re (-),At (-),St (-),Fr (-),lamb (-)
run_043.nc,Cyril,IMFT,run_043.nc,silica sand,Slope1 -- manip19,IMFT,1.544e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.253e+03,2.508e+00,7.144e-01,1.386e-01,2.056e+00,1.823e+05,2.556e-01,1.697e-02,3.571e-01,1.892e-04
run_044.nc,Cyril,IMFT,run_044.nc,silica sand,Slope3 -- manip01,IMFT,2.064e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.032e+03,3.352e-01,2.618e-01,3.782e-01,2.067e+00,5.528e+04,3.417e-02,4.633e-02,4.597e-01,9.790e-03
run_045.nc,Cyril,IMFT,run_045.nc,silica sand,Slope3 -- manip02,IMFT,2.064e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.032e+03,3.352e-01,2.618e-01,3.782e-01,2.067e+00,5.528e+04,3.417e-02,4.633e-02,3.585e-01,5.277e-04
run_046.nc,Cyril,IMFT,run_046.nc,silica sand,Slope3 -- manip03,IMFT,2.929e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.046e+03,4.756e-01,3.118e-01,3.176e-01,2.067e+00,6.675e+04,4.848e-02,3.890e-02,3.733e-01,6.709e-04
run_047.nc,Cyril,IMFT,run_047.nc,silica sand,Slope3 -- manip04,IMFT,4.033e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.065e+03,6.549e-01,3.658e-01,2.706e-01,2.067e+00,7.970e+04,6.676e-02,3.315e-02,3.040e-01,-8.723e-03
run_048.nc,Cyril,IMFT,run_048.nc,silica sand,Slope3 -- manip05,IMFT,4.993e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.080e+03,8.108e-01,4.071e-01,2.432e-01,2.067e+00,9.000e+04,8.265e-02,2.979e-02,3.062e-01,-7.449e-03
run_049.nc,Cyril,IMFT,run_049.nc,silica sand,Slope3 -- manip06,IMFT,8.642e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.012e+03,1.403e-01,1.694e-01,5.846e-01,2.067e+00,3.508e+04,1.430e-02,7.161e-02,3.762e-01,4.424e-03
run_050.nc,Cyril,IMFT,run_050.nc,silica sand,Slope3 -- manip07,IMFT,6.337e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.103e+03,1.029e+00,4.586e-01,2.159e-01,2.067e+00,1.035e+05,1.049e-01,2.644e-02,3.601e-01,-2.591e-03
run_051.nc,Cyril,IMFT,run_051.nc,silica sand,Slope3 -- manip08,IMFT,7.874e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.128e+03,1.279e+00,5.112e-01,1.937e-01,2.067e+00,1.180e+05,1.303e-01,2.372e-02,3.598e-01,-1.531e-03
run_052.nc,Cyril,IMFT,run_052.nc,silica sand,Slope3 -- manip09,IMFT,6.721e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.009e+03,1.091e-01,1.494e-01,6.629e-01,2.067e+00,3.084e+04,1.113e-02,8.119e-02,3.905e-01,7.808e-03
run_053.nc,Cyril,IMFT,run_053.nc,silica sand,Slope3 -- manip10,IMFT,3.649e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.004e+03,5.925e-02,1.100e-01,8.997e-01,2.067e+00,2.261e+04,6.040e-03,1.102e-01,3.780e-01,8.653e-03
run_054.nc,Cyril,IMFT,run_054.nc,silica sand,Slope3 -- manip11,IMFT,6.721e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.009e+03,1.091e-01,1.494e-01,6.629e-01,2.067e+00,3.084e+04,1.113e-02,8.119e-02,4.952e-01,1.351e-02
run_055.nc,Cyril,IMFT,run_055.nc,silica sand,Slope3 -- manip12,IMFT,6.721e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.009e+03,1.091e-01,1.494e-01,6.629e-01,2.067e+00,3.084e+04,1.113e-02,8.119e-02,4.070e-01,8.612e-03
run_056.nc,Cyril,IMFT,run_056.nc,silica sand,Slope3 -- manip13,IMFT,1.440e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.022e+03,2.339e-01,2.186e-01,4.528e-01,2.067e+00,4.571e+04,2.384e-02,5.547e-02,3.697e-01,7.368e-04
run_057.nc,Cyril,IMFT,run_057.nc,silica sand,Slope3 -- manip14,IMFT,1.008e-01,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.165e+03,1.637e+00,5.784e-01,1.711e-01,2.067e+00,1.378e+05,1.669e-01,2.096e-02,3.702e-01,-1.051e-03
